Home,Away,Result
CLE,BOS,1
GSW,HOU,0
BOS,MIL,0
DAL,ATL,0
DET,CHA,1
IND,BKN,1
MEM,NOP,1
ORL,MIA,1
PHX,POR,0
SAC,HOU,0
SAS,MIN,1
UTA,DEN,1
WAS,PHI,1
LAL,LAC,0
OKC,NYK,1
TOR,CHI,1
BKN,ORL,1
CHA,ATL,1
DAL,SAC,0
IND,POR,0
MIL,CLE,0
MIN,UTA,1
NOP,GSW,0
PHI,BOS,0
PHX,LAL,0
WAS,DET,1
CHI,SAS,0
CLE,ORL,0
DEN,SAC,1
HOU,DAL,1
LAC,PHX,1
MEM,GSW,1
MIA,IND,1
MIL,POR,1
NYK,DET,0
TOR,PHI,1
UTA,OKC,1
BKN,ATL,1
LAL,NOP,0
OKC,MIN,0
DAL,GSW,0
DEN,WAS,0
DET,PHI,0
HOU,MEM,0
MIA,ATL,1
MIL,CHA,1
PHX,SAC,1
SAS,TOR,1
BOS,NYK,1
CLE,CHI,1
LAC,UTA,1
MIN,IND,0
ORL,BKN,1
POR,NOP,1
BKN,CLE,1
CHA,DEN,1
DAL,MEM,1
DET,MIN,1
GSW,TOR,1
LAL,WAS,1
MIA,SAS,0
OKC,IND,1
PHI,HOU,0
PHX,UTA,1
CHI,ATL,1
MEM,DAL,1
MIL,BOS,0
POR,LAC,0
SAC,NOP,0
ATL,DEN,0
CHA,HOU,0
GSW,WAS,1
LAL,TOR,0
MIN,OKC,1
NYK,BKN,1
ORL,SAS,1
CHI,OKC,0
DAL,PHI,0
LAC,DET,0
MEM,HOU,1
MIA,BOS,0
NOP,CLE,1
POR,PHX,1
UTA,LAL,1
ATL,MIL,0
BKN,DEN,0
CHA,ORL,1
CLE,NYK,0
GSW,DET,0
IND,SAS,1
SAC,WAS,0
BOS,SAS,1
HOU,PHI,0
LAC,GSW,0
MEM,CHA,0
MIA,MIN,0
NOP,ORL,0
NYK,DEN,1
POR,TOR,0
UTA,DAL,1
BKN,PHX,0
IND,SAC,1
LAL,DET,1
MIL,OKC,0
